Id;Name;Address;Location;Province;Zip_Code;Items;Weight;Node_Type;TW_Start;TW_End;Latitude;Longitude;Email;Phone
0;Depot;C. Tajo, s/n;Villaviciosa de Odon;MADRID;28670;0;0,0;Depot;00:00;00:00;40,37387062578713;-3,919575039549291;;
1;RED DE SALUD MENTAL DE ARABA (HOSPITAL PSIQUIÁTRICO DE ARABA);ÁLAVA, 43;Vitoria-Gasteiz;ÁLAVA;1006;207;24955,92;PSIQUIÁTRICO;03:00;23:59;42,8356562870001;-2,67861197099995;SECRETARIA.GERENCIA@osakidetza.eus;945006555
2;HOSPITAL SAN JOSÉ;BEATO TOMÁS DE ZUMÁRRAGA, 10;Vitoria-Gasteiz;ÁLAVA;1008;63;7595,28;MÉDICO-QUIRÚRGICO;03:00;23:59;42,8496614530001;-2,67664049999996;diazdecorcueram@vithas.es;945140900
3;HOSPITAL QUIRÓNSALUD VITORIA;ESPERANZA, 3;Vitoria-Gasteiz;ÁLAVA;1002;26;3134,56;GENERAL;03:00;23:59;42,84976126;-2,66803516399995;josecarlos.mellado@quironsalud.es;945252500
4;HOSPITAL DE CUIDADOS SAN ONOFRE, S.L. (HOSPITAL DE CUIDADOS SAN ONOFRE);SALVATIERRABIDE, 9;Vitoria-Gasteiz;ÁLAVA;1007;82;9885,92;GERIATRÍA Y/O LARGA ESTANCIA;03:00;23:59;42,837581582;-2,68038623299998;info@hospitalsanonofre.com;945142100
5;HOSPITAL DE LEZA;CTRA. VITORIA - LOGROÑO, KM. 59;Laguardia;ÁLAVA;1309;63;7595,28;GENERAL;03:00;23:59;42,5759894380001;-2,63863544199995;hospital.leza@osakidetza.eus;945006900
6;HOSPITAL UNIVERSITARIO DE ARABA (SEDE TXAGORRITXU Y SEDE SANTIAGO);JOSÉ ATXOTEGUI, S/N;Vitoria-Gasteiz;ÁLAVA;1009;811;97774,16;GENERAL;03:00;23:59;42,8549897730001;-2,69020705599996;;945007000
7;COMPLEJO HOSPITALARIO UNIVERSITARIO DE ALBACETE;HERMANOS FALCÓ, 37;Albacete;ALBACETE;2006;705;84994,8;GENERAL;03:00;23:59;38,985256377;-1,84655696499993;;967597100
8;CLÍNICA SANTA CRISTINA ALBACETE;PÉREZ GALDÓS, 7;Albacete;ALBACETE;2003;42;5063,52;GENERAL;03:00;23:59;38,9897934000001;-1,85770989599996;svillanueva@clinicasantacristina.es;967223300
9;HOSPITAL DE HELLÍN;JUAN RAMÓN JIMÉNEZ, 40;Hellín;ALBACETE;2400;135;16275,6;GENERAL;03:00;23:59;38,504304817;-1,68918989199994;gai.hellin@sescam.jccm.es;967309500
